number,title,genre,author,date,in.year,,,,,,,,,
129,Anathem,,Neal Stephenson,11/27/2011,14,,,,,,,,,
130,Mendel's Dwarf,,Simon Mawer,12/8/2011,15,,,,,,,,,
131,Inside Scientology: The Story of America's Most Secretive Religion,,Janet Reitman,12/31/2011,16,,,,,,,,,
132,Madmen Dream of Turing Machines,,Janna Levin,1/5/2012,1,,,,,,,,,
133,Breaking the Code,,Hugh Whitmore,1/13/2012,2,,,,,,,,,
134,Advice to a Young Investigator,,Santiago Ramon Y Cajal,1/19/2012,3,,,,,,,,,
135,"One Hundred Names for Love: A Stroke, a Marriage, and the Language of Healing",,Diane Ackerman,2/12/2012,4,,,,,,,,,
136,The Evolution of Bruno Littlemore,,Benjamin Hale,3/29/2012,5,,,,,,,,,
137,Um,,Michael Erard,5/2/2012,6,,,,,,,,,
138,Civilization and Its Discontents,,Sigmund Freud,5/27/2012,7,,,,,,,,,
139,The Anthologist,,Nicholson Baker,5/31/2012,8,,,,,,,,,
140,The Last Samuri,,Helen Dewitt,6/17/2012,9,,,,,,,,,
141,Program or be Programmed: Ten Commands for a Digital Age,,Douglas Rushkoff,7/24/2012,10,,,,,,,,,
142,Nerve Endings: The Discovery of the Synapse,,Richard Rapport,8/9/2012,11,,,,,,,,,
143,Dreaming in Code,,Scott Rosenberg,9/1/2012,12,,,,,,,,,
144,Cloud Atlas,,David Mitchell,10/25/2012,13,,,,,,,,,
145,Automate This: How Algorithms Came to Rule Our World,,Christopher Steiner,11/18/2012,14,,,,,,,,,
146,Mortality,,Christopher Hitchens,12/17/2012,15,,,,,,,,,
147,Nexus,,Ramez Naam,12/25/2012,16,,,,,,,,,
148,Life of Pi,,Yann Martel,12/29/2012,17,,,,,,,,,
149,Gun Machine,,Warren Ellis,1/6/2013,1,,,,,,,,,
150,Mr. Penumbra's 24-Hour Bookstore,,Robin Sloan,2/9/2013,2,,,,,,,,,
151,The Housekeeper and the Professor,,Yoko Ogawa,2/19/2013,3,,,,,,,,,
152,You,,,6/22/2013,4,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
